Period,Dimension_1,Value
gregorian-day/28/02/2016,Market (standard credit),808.63
gregorian-day/28/03/2016,Market (standard credit),797.76
gregorian-day/28/04/2016,Market (standard credit),793.48
gregorian-day/28/05/2016,Market (standard credit),877.12
gregorian-day/28/06/2016,Market (standard credit),847.45
gregorian-day/28/07/2016,Market (standard credit),871.54
gregorian-day/28/08/2016,Market (standard credit),871.54
gregorian-day/28/09/2016,Market (standard credit),839.15
gregorian-day/28/10/2016,Market (standard credit),829.42
gregorian-day/28/11/2016,Market (standard credit),907.75
gregorian-day/28/12/2016,Market (standard credit),923.48
gregorian-day/28/01/2017,Market (standard credit),951.58
gregorian-day/28/02/2017,Market (standard credit),935.19
gregorian-day/28/03/2017,Market (standard credit),949.48
gregorian-day/28/04/2017,Market (standard credit),946.43
gregorian-day/28/05/2017,Market (standard credit),923.47
gregorian-day/28/06/2017,Market (standard credit),923.23
gregorian-day/28/07/2017,Market (standard credit),923.23
gregorian-day/28/08/2017,Market (standard credit),923.47
gregorian-day/28/09/2017,Market (standard credit),923.47
gregorian-day/28/10/2017,Market (standard credit),943.35
gregorian-day/28/11/2017,Market (standard credit),958.08
gregorian-day/28/12/2017,Market (standard credit),958.08
gregorian-day/28/01/2018,Market (standard credit),958.08
gregorian-day/28/02/2018,Market (standard credit),958.08
gregorian-day/28/03/2018,Market (standard credit),958.08
gregorian-day/28/04/2018,Market (standard credit),958.08
gregorian-day/28/05/2018,Market (standard credit),958.08
gregorian-day/28/06/2018,Market (standard credit),958.08
gregorian-day/28/07/2018,Market (standard credit),990.66
gregorian-day/28/08/2018,Market (standard credit),990.68
gregorian-day/28/09/2018,Market (standard credit),1067.64
gregorian-day/28/10/2018,Market (standard credit),1107.76
gregorian-day/28/11/2018,Market (standard credit),1055.76
gregorian-day/28/12/2018,Market (standard credit),1109.27
gregorian-day/28/01/2019,Market (standard credit),941.26
gregorian-day/28/02/2019,Market (standard credit),1040.00
gregorian-day/28/03/2019,Market (standard credit),1040.00
gregorian-day/28/04/2019,Market (standard credit),1098.83
gregorian-day/28/05/2019,Market (standard credit),1087.91
gregorian-day/28/06/2019,Market (standard credit),1015.84
gregorian-day/28/07/2019,Market (standard credit),1070.10
gregorian-day/28/08/2019,Market (standard credit),1053.05
gregorian-day/28/09/2019,Market (standard credit),1042.70
gregorian-day/28/10/2019,Market (standard credit),994.92
gregorian-day/28/11/2019,Market (standard credit),971.38
gregorian-day/28/12/2019,Market (standard credit),988.46
gregorian-day/28/01/2020,Market (standard credit),988.46
gregorian-day/28/02/2020,Market (standard credit),910.29
gregorian-day/28/03/2020,Market (standard credit),910.29
gregorian-day/28/04/2020,Market (standard credit),882.76
gregorian-day/28/05/2020,Market (standard credit),882.76
gregorian-day/28/06/2020,Market (standard credit),882.76
gregorian-day/28/07/2020,Market (standard credit),882.76
gregorian-day/28/08/2020,Market (standard credit),882.76
gregorian-day/28/09/2020,Market (standard credit),858.59
gregorian-day/28/01/2012,Market (prepayment),969.61
gregorian-day/28/02/2012,Market (prepayment),969.61
gregorian-day/28/03/2012,Market (prepayment),969.61
gregorian-day/28/04/2012,Market (prepayment),969.24
gregorian-day/28/05/2012,Market (prepayment),969.24
gregorian-day/28/06/2012,Market (prepayment),1017.42
gregorian-day/28/07/2012,Market (prepayment),1017.42
gregorian-day/28/08/2012,Market (prepayment),1017.42
gregorian-day/28/09/2012,Market (prepayment),1017.42
gregorian-day/28/10/2012,Market (prepayment),1019.30
gregorian-day/28/11/2012,Market (prepayment),1045.64
gregorian-day/28/12/2012,Market (prepayment),1045.64
gregorian-day/28/01/2013,Market (prepayment),1045.64
gregorian-day/28/02/2013,Market (prepayment),1045.64
gregorian-day/28/03/2013,Market (prepayment),1045.64
gregorian-day/28/04/2013,Market (prepayment),1045.64
gregorian-day/28/05/2013,Market (prepayment),1045.64
gregorian-day/28/06/2013,Market (prepayment),1045.64
gregorian-day/28/07/2013,Market (prepayment),1045.64
gregorian-day/28/08/2013,Market (prepayment),1045.64
gregorian-day/28/09/2013,Market (prepayment),1045.64
gregorian-day/28/10/2013,Market (prepayment),1093.35
gregorian-day/28/11/2013,Market (prepayment),1093.35
gregorian-day/28/12/2013,Market (prepayment),1093.35
gregorian-day/28/01/2014,Market (prepayment),1172.77
gregorian-day/28/02/2014,Market (prepayment),1172.77
gregorian-day/28/03/2014,Market (prepayment),1171.39
gregorian-day/28/04/2014,Market (prepayment),1171.39
gregorian-day/28/05/2014,Market (prepayment),1171.39
gregorian-day/28/06/2014,Market (prepayment),1162.40
gregorian-day/28/07/2014,Market (prepayment),1162.40
gregorian-day/28/08/2014,Market (prepayment),1154.43
gregorian-day/28/09/2014,Market (prepayment),1154.43
gregorian-day/28/10/2014,Market (prepayment),1154.43
gregorian-day/28/11/2014,Market (prepayment),1154.43
gregorian-day/28/12/2014,Market (prepayment),1151.22
gregorian-day/28/01/2015,Market (prepayment),1148.99
gregorian-day/28/02/2015,Market (prepayment),1148.90
gregorian-day/28/03/2015,Market (prepayment),1116.99
gregorian-day/28/04/2015,Market (prepayment),1116.99
gregorian-day/28/05/2015,Market (prepayment),1116.99
gregorian-day/28/06/2015,Market (prepayment),1116.99
gregorian-day/28/07/2015,Market (prepayment),1116.99
gregorian-day/28/08/2015,Market (prepayment),1116.99
gregorian-day/28/09/2015,Market (prepayment),1100.94
gregorian-day/28/10/2015,Market (prepayment),1100.94
gregorian-day/28/11/2015,Market (prepayment),1055.61
gregorian-day/28/12/2015,Market (prepayment),1055.61
gregorian-day/28/01/2016,Market (prepayment),1055.61
gregorian-day/28/02/2016,Market (prepayment),1054.20
gregorian-day/28/03/2016,Market (prepayment),1051.22
gregorian-day/28/04/2016,Market (prepayment),1030.27
gregorian-day/28/05/2016,Market (prepayment),1017.61
gregorian-day/28/06/2016,Market (prepayment),985.97
gregorian-day/28/07/2016,Market (prepayment),985.97
gregorian-day/28/08/2016,Market (prepayment),985.97
gregorian-day/28/09/2016,Market (prepayment),985.97
gregorian-day/28/10/2016,Market (prepayment),985.97
gregorian-day/28/11/2016,Market (prepayment),985.97
gregorian-day/28/12/2016,Market (prepayment),985.97
gregorian-day/28/01/2017,Market (prepayment),985.97
gregorian-day/28/02/2017,Market (prepayment),970.67
gregorian-day/28/03/2017,Market (prepayment),970.67
gregorian-day/28/04/2017,Market (prepayment),970.67
gregorian-day/28/05/2017,Market (prepayment),979.27
gregorian-day/28/06/2017,Market (prepayment),979.27
gregorian-day/28/07/2017,Market (prepayment),979.27
gregorian-day/28/08/2017,Market (prepayment),979.27
gregorian-day/28/09/2017,Market (prepayment),979.27
gregorian-day/28/10/2017,Market (prepayment),978.04
gregorian-day/28/11/2017,Market (prepayment),978.04
gregorian-day/28/12/2017,Market (prepayment),957.12
gregorian-day/28/01/2018,Market (prepayment),960.06
gregorian-day/28/02/2018,Market (prepayment),945.76
gregorian-day/28/03/2018,Market (prepayment),945.76
gregorian-day/28/04/2018,Market (prepayment),946.63
gregorian-day/28/05/2018,Market (prepayment),946.63
gregorian-day/28/06/2018,Market (prepayment),946.63
gregorian-day/28/07/2018,Market (prepayment),946.63
gregorian-day/28/08/2018,Market (prepayment),946.54
gregorian-day/28/09/2018,Market (prepayment),983.86
gregorian-day/28/10/2018,Market (prepayment),983.86
gregorian-day/28/11/2018,Market (prepayment),983.86
gregorian-day/28/12/2018,Market (prepayment),983.86
gregorian-day/28/01/2019,Market (prepayment),1016.48
gregorian-day/28/02/2019,Market (prepayment),1023.39
gregorian-day/28/03/2019,Market (prepayment),1023.39
gregorian-day/28/04/2019,Market (prepayment),1023.39
gregorian-day/28/05/2019,Market (prepayment),1052.46
gregorian-day/28/06/2019,Market (prepayment),1052.46
gregorian-day/28/07/2019,Market (prepayment),1052.46
gregorian-day/28/08/2019,Market (prepayment),1052.46
gregorian-day/28/09/2019,Market (prepayment),1052.46
gregorian-day/28/10/2019,Market (prepayment),1044.49
gregorian-day/28/11/2019,Market (prepayment),1044.49
gregorian-day/28/12/2019,Market (prepayment),1044.49
gregorian-day/28/01/2020,Market (prepayment),1006.82
gregorian-day/28/02/2020,Market (prepayment),1006.82
gregorian-day/28/03/2020,Market (prepayment),1006.82
gregorian-day/28/04/2020,Market (prepayment),982.07
gregorian-day/28/05/2020,Market (prepayment),982.07
gregorian-day/28/06/2020,Market (prepayment),982.07
gregorian-day/28/07/2020,Market (prepayment),982.07
gregorian-day/28/08/2020,Market (prepayment),982.07
gregorian-day/28/09/2020,Market (prepayment),982.07
